train loss  testloss
169.172317  5.481288
7.280980  5.145751
6.981962  4.835026
6.715873  4.563146
6.471313  4.320478
6.246214  4.110030
6.050191  3.922509
5.867699  3.756283
5.702984  3.606110
5.556089  3.472272
5.418981  3.357746
5.304572  3.260784
5.205278  3.176748
5.114493  3.103452
5.032644  3.038045
4.961178  2.978769
4.894720  2.924978
4.836294  2.875566
4.778519  2.830013
4.719617  2.787372
4.669786  2.747103
4.623729  2.708884
4.579310  2.672897
4.535638  2.638984
4.494910  2.605618
4.452740  2.574253
4.419876  2.544460
4.383801  2.515284
4.347996  2.487595
4.313907  2.459680
4.284881  2.433483
4.251597  2.408685
4.225052  2.383735
4.194835  2.359522
4.168174  2.336290
4.142018  2.314342
4.117498  2.292963
4.093380  2.271734
4.067598  2.251632
4.045817  2.232004
4.021841  2.212916
4.000819  2.194917
3.981636  2.176083
3.960438  2.157897
3.940945  2.139278
3.916269  2.122229
3.902202  2.105715
3.880027  2.089671
3.865093  2.074765
3.849095  2.060124
3.832940  2.046195
3.815425  2.032535
3.799758  2.019394
3.786700  2.007041
3.772791  1.994736
3.758870  1.983148
